	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
MEGF6	5.71179563744431	5.21676473967919	5.42607438934602	6.10342558640859	5.57642527049139	6.04475922978131
RP11-46F15.2	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	5.06398263253143
TPRG1L	9.39774401563601	9.42761874020879	9.31252591238536	9.69165410612395	10.0515514909883	9.90413301277617
WRAP73	8.83195061735082	9.06936416783984	8.84062968359859	8.76860900055478	8.74193049065009	8.96337135716527
TP73	5.92039272439874	5.51499727628866	5.62133835812739	6.25797976198409	5.83657102598897	6.22658169674633
RP5-1092A11.5	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP5-1092A11.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
TP73-AS1	9.40450609607485	9.53801380242692	9.29119933151731	9.35587056754708	9.45023349836553	9.25397282132233
CCDC27	4.73636827958541	4.73636827958541	4.73636827958541	5.15329107568632	4.73636827958541	4.73636827958541
SMIM1	7.27854123351187	7.23861225548224	7.3373093497582	7.00541322345945	7.22551597850716	6.82404849286512
LRRC47	10.9816312412146	11.0052957325468	10.96765270223	11.0412922107991	11.0812498604131	11.0490788682076
RP1-286D6.5	5.23099856814777	5.29024088456287	5.13708382267861	5.50978174698384	5.40394199140696	5.62155569609921
CEP104	11.0003252267088	11.0965743079294	11.0829660354082	10.8960886434541	10.9593929225843	10.9017276379244
DFFB	8.36919877844275	8.48613289579341	8.48654257699704	7.87093744897799	7.92648323362781	7.78056791014889
C1orf174	9.84967224596042	9.87726253155639	9.92255573282246	9.28233550289179	9.52048883662293	9.61227719685446
LINC01134	5.67169219415835	5.51499727628866	5.53032106117614	5.50978174698384	5.83657102598897	6.06262740758016
LINC01346	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	4.73636827958541
RP13-614K11.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP5-1166F10.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP1-37J18.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP1-37J18.2	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
AJAP1	9.52935468540797	9.58925754132951	9.62805886250964	10.0893591821455	10.0688344943395	10.0773811910274
RP11-542C10.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP1-58B11.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
RP11-154H17.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
NPHP4	8.51020718344954	8.48210441882869	8.482350915829	8.29148762003542	8.06583257066884	8.38149767894191
KCNAB2	6.6600665911753	6.70266523102864	6.47200711999549	6.53486311366068	6.25865770829781	6.11448019596468
CHD5	5.30660048751758	5.29024088456287	5.13708382267861	5.39221541509149	5.16082330137716	5.67683294971633
RPL22	12.842630909438	12.8273464362343	12.8481654128314	12.9503290295785	12.6991040280753	12.7462466096664
